97,ENRIQUEZ COL. POR ALTO LUCERO,430.00
98,"EMILIO CARRANZA, VERACRUZ",1550.00
99,ESPINAL EL POR NAOLINCO,290.00
100,ESTANZUELA,135.00
101,EX HACIENDA STA. ANA,150.00
102,EL ATITO POR TOLOME,750.00
103,EL FAISAN,730.00
104,FARALLON EL ,1050.00
105,FLORIDA LA,115.00
106,FORTIN DE LAS FLORES,1220.00
107,FRESNO (SAN MIGUEL),220.00
108,FRESNO POR TLACOLULAN,220.00
109,FRAILES LOS,250.00
110,"GUADALUPE VICTORIA, VERACRUZ",560.00
111,"GUADALUPE VICTORIA, PUEBLA",1300.00
112,GRANDE EL,150.00
113,GUTIERREZ ZAMORA,2400.00
114,GAS ATLANTICO,235.00
115,HACIENDA DE LA LUZ,400.00
116,HALDAS LAS,300.00
117,HAYA EL (COLONIA),80.00
118,HUAMANTLA TLAX,1600.00
119,HUEJUTLA DE REYES,4800.00
120,HUATUSCO,850.00
121,HUERFANO EL,650.00
122,IDOLOS LOS POR RINCONADA,600.00
123,IXHUACAN DE LOS REYES,600.00
124,JALCOMULCO   ,400.00
125,JALACINGO,830.00
126,JALTIPAN,3900.00
127,JARDIN BOTANICO,80.00
128,JILOTEPEC,140.00
129,JOYA LA,240.00
130,JUCHIQUE DE FERRER,900.00
131,LA LAGUNA POR PACHO VIEJO,110.00
132,LAGUNA VERDE,1180.00
133,LANDERO Y COSS,450.00
134,LAS LOMAS POR JILOTEPEC,230.00
135,LAS LOMAS POR PUERTO RICO,180.00
136,LENCERO EL,150.00
137,LERDO DE TEJADA,2200.00
138,LIMONES-COSAUTLAN,680.00
139,LINDEROS POR JILOTEPEC,180.00
140,LLANO GRANDE POR TEOCELO,380.00
141,MAFAFAS POR ALTO LUCERO,480.00
142,MAHUIXTLAN,200.00
143,MANCHA LA,1000.00
144,MANDINGA POR VERACRUZ,1380.00
145,MANLIO F. ALTAMIRANO,1150.00
146,MARIA DE LA TORRE,1450.00
147,MARIANO ESCOBEDO POR BRIONES,130.00
148,MARTINEZ DE LA TORRE,1350.00
149,MAZATEPEC,200.00
150,MESA DE GUADALUPE,330.00
151,MESA DE 24 POR PALMA SOLA,1400.00
152,"MEXICO,  D.F","$ 4,500°"
153,MIAHUATLAN,350.00
154,MINAS LAS,580.00
155,MINATITLAN,4500.00
156,MIRADORES ,200.00
157,MISANTLA,850.00
158,MOLINOS LOS,500.00
159,MONTE BLANCO POR TEOCELO,275.00
160,MONTE REAL POR TONAYAN,370.00
161,MONTEPIO (PLAYA),2800.00
162,MOZOMBOA POR ZEMPOALA,930.00
163,NAOLINCO,320.00
164,NARANJOS,4000.00
165,NAUTLA,1950.00
166,NOGALES,1400.00
167,NUEVE EL,750.00
168,"OAXACA, OAXACA",5.00
169,OJO ZARCO POR  ALTO LUCERO,500.00
170,OJO DE AGUA POR TRANCAS,80.00
171,OMIQUILA POR CASTILLO,285.00
172,OTATES,320.00
173,ORDUÑA LA,145.00
174,OTILPAN ,120.00
175,ORIZABA POR LA LIBRE,1540.00
176,ORIZABA POR CUOTA,2400.00
177,PACHO VIEJO,130.00
178,PACHO NUEVO,160.00
179,PACHUCA HIDALGO,4000.00
180,PALMA SOLA,1250.00
181,PALMAR POR MIRADORES,400.00
182,PALMAREJO POR MIRADORES,250.00
183,PALO GACHO,320.00
184,PANUCO ,5200.00
185,PAPANTLA ,2600.00
186,PASTORIAS ,650.00
187,PASO SAN JUAN POR PASO DE OVEJAS,770.00
188,PASO SAN JUAN POR CHILTOYAC,190.00
189,PASO LA MILPA,410.00
190,PASO DE OVEJAS,700.00
191,PASO GRANDE ,210.00
192,PASO LADRILLO,120.00
193,PATLANALAN,650.00
194,PEDREGAL,850.00
195,PEROTE,575.00
196,PIEDRA DE AGUA,130.00
197,PIEDRA PARADA POR COSAUTLAN,450.00
198,PILETAS,120.00
199,PINOLTEPEC,230.00
200,PITAYA LA,120.00
201,"PLAN CHICO, RUMBO A CHAVARRILLO",150.00
202,PLAN DEL RIO,310.00
203,PLAN DE LA CRUZ POR BRIONES,110.00
204,PLAN DE LAS HAYAS,680.00
205,PLAN DE SEDEÑO,160.00
206,PLAYA VICENTE,3500.00
207,POCITOS (BALNEARIO),330.00
208,POTRERO ALTO POR PALMA SOLA,1300.00
209,POTRERO DE LLANO POR ALAMO,3600.00
210,POZA RICA,2900.00
211,PROVIDENCIA POR ALTO LUCERO,330.00
212,PUEBLO NUEVO (MIRADORES),190.00
213,PUEBLO VIEJO (PANUCO),5100.00
214,"PUEBLA, PUEBLA",2500.00
215,PUEBLITO,150.00
216,PUENTE JULA,850.00
217,PUENTE DE MOISES POR LA CONCHA,180.00
218,PUENTE NACIONAL,580.00
219,PUENTE SAN MARCOS DE LEON,150.00
220,PUERTO RICO,160.00
221,RANCHO NUEVO POR ALTO LUCERO,600.00
222,RANCHO CHICO POR SAN MIGUEL,160.00
223,RANCHO VIEJO POR MIRADORES,220.00
224,RANCHO VIEJO POR COAPEXPAN,180.00
225,RAUDAL EL ,1330.00
226,REFORMA POR ACTOPAN,480.00
227,RINCONADA,500.00
228,RIO BLANCO ,1590.00
229,ROMA,160.00
230,ROSARIO EL POR PILETAS,130.00
231,RUBI EL ,1400.00
232,SALMORAL PORTOLOME,740.00
233,SALTO DE EYIPANTLA,2800.00
234,SAN ALFONSO POR LA ORDUÑA,150.00
235,SAN ANDRES TLANELHUAYOCAN,140.00
236,SAN ANDRES TLUXTLA,2700.00
237,SAN ANTONIO TEPETLAN,350.00
238,SAN ANTONIO POR SAN BRUNO,135.00
239,SAN JOSE MIAHUATLAN,340.00
240,SAN MARCOS DE LEON ,155.00
241,SAN MARTIN POR LA CONCHA,195.00
242,SAN MARTIN TEXMELUCAN,3000.00
243,SAN MIGUEL POR RAFAEL LUCIO,160.00
244,SAN PABLO COAPAN,230.00
245,SAN PANCHO ,760.00
246,SAN PANCHO POR CARDEL,750.00
247,SAN RAFAEL POR MARTINEZ DE LA TORRE,1550.00
248,SAN JULIAN,950.00
249,SANTA FE,920.00
250,SANTIAGO TUXTLA,2550.00
251,SAYULA DE ALEMAN,3750.00
252,SECO EL ,1300.00
253,SIERRA DE AGUA,450.00
254,SIHUATLAN POR JUCHIQUE,880.00
255,SOLEDAD DE DOBLADO,1265.00
256,SONCUANTLA,145.00
257,SONIGAS POR CORRAL FALSO,220.00
258,SEIS POR BRIONES,110.00
259,TABACHIN,80.00
260,TAMARINDO,560.00
261,TAMIAHUA,3700.00
262,TAMPICO-TAMAULIPAS,5250.00
263,TANTOYUCA,4300.00
264,TATATILA,440.00
265,TEJERIA,1030.00
266,TEHUACAN (PUEBLA),2200.00
267,TEMPOAL,4600.00
268,TENAMPA,260.00
269,TENENEXPAN,1150.00
270,TENEXTEPEC,720.00
271,TEPEACA (PUEBLA),1870.00
272,TEPETATES,280.00
273,TEOCELO,230.00
274,TEXCOCO,4000.00
275,TEXIN ,300.00
276,TEZIUTLAN (PUEBLA),960.00
277,TIGRILLOS ,4090.00
278,TINAJA POR EL LENCERO,250.00
279,"TIERRA BLANCA., VERACRUX",2000.00
280,TIERRA BLANCA POR EL ALTO,650.00
281,TIERRA COLORADA,860.00
282,TOCHE POR L. BANDERA/ACTOPAN,460.00
283,TOLOME,750.00
284,TONAYAN POR NAOLINCO,260.00
285,TOPILTEPEC,750.00
286,TOTALCO,680.00
287,TOTUTLA,780.00
288,TOXTLACOAYA,320.00
289,TLACOLULAN,250.00
290,TLACOTALPAN,2180.00
291,TLALTETELA,450.00
292,TLAPACOYAN,980.00
293,TRAPICHE DEL ROSARIO,300.00
294,TRANCAS LAS,60.00
295,"TLAXCALA, TLAXCALA",2000.00
296,TRES DE MAYO POR BANDERILLA,110.00
297,TINAJITAS,980.00
298,TRES VALLES ,2350.00
299,TRONCONAL,150.00
300,TLUXPAN,3330.00
301,TUZAMAPAN,260.00
302,URSULO GALVAN POR SAN MARCOS,185.00
303,"URSULO GALVAN, VERACRUZ.",800.00
304,VARGAS POR PASO SE OVEJAS,925.00
305,VEGA DE A LA TORRE POR E. CARRANZA,1680.00
306,VENTA LA (TABASCO),5200.00
307,VERACRUZ CENTRO,1200.00
308,VIEJON POR LAGUNA VERDE,1150.00
309,VIGAS LAS,340.00
310,VILLA ALDAMA,480.00
311,VILLA CANDELARIA ,$ 780°°
312,VILLA NUEVA POR ACTOPAN,360.00
313,"VILLA HERMOSA, TABASCO",5800.00
314,VISTA HERMOSA,165.00
315,XICO,210.00
316,XICOTITLAN POR ACAZONICA,1000.00
317,XOLOSTLA POR LUZ DEL BARRIO,100.00
318,XOMOTLA POR ALTO LUCERO,500.00
319,YECUATLA,750.00
320,ZEMPOALA,830.00
321,ZENTLA POR HUATUSCO,1000.00
322,ZIMPIZAHUA,150.00
323,ZONA MILITAR,100.00
324,ZONCUANTLA,100.00
